Area,Baths,Bedrooms,Price,location
1 Kanal,5,6,PKR9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,-,6,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR7.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR14 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR78 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
5.1 Marla,2,2,PKR1.1 Crore,"DHA Defence, Islamabad, Islamabad Capital"
6 Marla,5,4,PKR4.6 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR14.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5 Marla,2,2,PKR69.5 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
11.9 Marla,3,3,PKR3.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,4,3,PKR3.05 Crore,"DHA Defence, Islamabad, Islamabad Capital"
7.3 Marla,3,3,PKR1.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR14.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR10.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.8 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR11.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
12 Marla,6,5,PKR4.7 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR78 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
3.9 Marla,2,2,PKR80 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
7.9 Marla,3,3,PKR2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
14 Marla,4,3,PKR3.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR12.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1.2 Kanal,5,5,PKR10.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR10.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
14.2 Marla,5,4,PKR3.9 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,5,PKR13.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR78 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.2 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR9.3 Crore,"DHA Defence, Islamabad, Islamabad Capital"
10 Marla,3,3,PKR2.85 Crore,"DHA Defence, Islamabad, Islamabad Capital"
11 Marla,4,3,PKR3.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
3.6 Marla,2,2,PKR80 Lakh,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR11.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR11.95 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR12.75 Crore,"DHA Defence, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR13.5 Crore,"DHA Defence, Islamabad, Islamabad Capital"
5.1 Marla,3,3,PKR1.55 Crore,"DHA Defence, Islamabad, Islamabad Capital"
