Area,Baths,Bedrooms,Price,location
10 Marla,6,5,PKR3.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
3.1 Marla,1,-,PKR64.5 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.4 Marla,1,1,PKR22 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.75 Crore,"Bahria Town, Islamabad, Islamabad Capital"
11 Marla,5,5,PKR5.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
9 Marla,5,5,PKR3.75 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2 Marla,1,1,PKR45 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,6,5,PKR3.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.8 Marla,1,-,PKR65 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.65 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2 Kanal,6,5,PKR15.85 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,-,-,PKR3.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.6 Kanal,5,5,PKR12.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.45 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.5 Marla,1,1,PKR55 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.8 Marla,1,1,PKR62 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
9 Marla,5,5,PKR4.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
9 Marla,6,5,PKR4.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10.9 Marla,4,3,PKR1.88 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR1.95 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.2 Kanal,-,-,PKR22 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,6,5,PKR3.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2 Marla,1,1,PKR49 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,7,6,PKR5.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.75 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR8.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR3.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR3.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR6.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.4 Kanal,6,5,PKR18 Crore,"Bahria Town, Islamabad, Islamabad Capital"
3.3 Kanal,-,6,PKR21.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.7 Marla,2,2,PKR1.07 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.85 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.5 Marla,1,1,PKR55 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.58 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.8 Marla,1,1,PKR80 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
6.1 Marla,2,2,PKR1.19 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2 Kanal,-,6,PKR15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.3 Kanal,6,5,PKR16 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7.5 Marla,3,3,PKR1.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.4 Marla,1,-,PKR75 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.47 Crore,"Bahria Town, Islamabad, Islamabad Capital"
6.4 Marla,3,2,PKR99 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR3.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR3.9 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.9 Marla,1,1,PKR65 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR3.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,5,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,6,5,PKR3.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.8 Marla,1,-,PKR53 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7.5 Marla,5,4,PKR3.85 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7.1 Marla,3,2,PKR1.85 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5.6 Marla,3,3,PKR3.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
12 Marla,5,5,PKR6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7.6 Marla,3,3,PKR1.36 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.4 Marla,1,1,PKR50 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,7,5,PKR6.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
16 Marla,4,3,PKR10 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.8 Marla,1,-,PKR75 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5.6 Marla,2,2,PKR1.45 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.9 Marla,2,1,PKR1.15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.9 Marla,2,1,PKR1.15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
9 Marla,6,5,PKR4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.9 Marla,2,-,PKR1.26 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR5.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.3 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.9 Marla,2,1,PKR1.05 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR3.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR4.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,4,PKR5.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,-,8,PKR17 Crore,"E-11, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR15.5 Crore,"F-11, Islamabad, Islamabad Capital"
16 Marla,7,6,PKR9.25 Crore,"E-11, Islamabad, Islamabad Capital"
6 Marla,4,4,PKR5 Crore,"E-11, Islamabad, Islamabad Capital"
10.9 Marla,7,9,PKR9.75 Crore,"E-11, Islamabad, Islamabad Capital"
10 Marla,6,6,PKR5.75 Crore,"E-11, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR31 Crore,"F-8, Islamabad, Islamabad Capital"
2.1 Kanal,6,5,PKR50 Crore,"F-7, Islamabad, Islamabad Capital"
2.5 Kanal,6,6,PKR50 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,5,4,PKR27 Crore,"F-7, Islamabad, Islamabad Capital"
2.1 Kanal,6,5,PKR42 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,5,4,PKR24 Crore,"F-8, Islamabad, Islamabad Capital"
10 Marla,4,4,PKR10 Crore,"F-11, Islamabad, Islamabad Capital"
2.1 Kanal,-,-,PKR45 Crore,"F-7, Islamabad, Islamabad Capital"
1.2 Kanal,-,-,PKR20 Crore,"F-10, Islamabad, Islamabad Capital"
3 Marla,3,3,PKR4.25 Crore,"F-10, Islamabad, Islamabad Capital"
1.1 Kanal,5,5,PKR25 Crore,"F-7, Islamabad, Islamabad Capital"
2.2 Kanal,6,10,PKR33.5 Crore,"F-10, Islamabad, Islamabad Capital"
1 Kanal,6,8,PKR14 Crore,"E-11, Islamabad, Islamabad Capital"
1.3 Kanal,7,6,PKR35.5 Crore,"F-7, Islamabad, Islamabad Capital"
2 Kanal,7,7,PKR40 Crore,"F-11, Islamabad, Islamabad Capital"
8 Marla,6,5,PKR5.3 Crore,"E-11, Islamabad, Islamabad Capital"
2 Kanal,7,8,PKR35 Crore,"F-10, Islamabad, Islamabad Capital"
2 Kanal,7,9,PKR45 Crore,"F-8, Islamabad, Islamabad Capital"
1.2 Kanal,6,6,PKR33 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,5,4,PKR15.5 Crore,"E-11, Islamabad, Islamabad Capital"
9 Marla,6,4,PKR7 Crore,"E-11, Islamabad, Islamabad Capital"
10 Marla,5,4,PKR8 Crore,"E-11, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR22 Crore,"F-10, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR30 Crore,"F-8, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR35 Crore,"F-7, Islamabad, Islamabad Capital"
2 Kanal,6,5,PKR32 Crore,"F-10, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR7.9 Crore,"E-11, Islamabad, Islamabad Capital"
3 Marla,2,2,PKR4.2 Crore,"F-10, Islamabad, Islamabad Capital"
1 Kanal,7,9,PKR32 Crore,"F-11, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR24 Crore,"F-10, Islamabad, Islamabad Capital"
1.6 Kanal,5,5,PKR30 Crore,"F-10, Islamabad, Islamabad Capital"
4.8 Kanal,5,5,PKR1.75 Arab,"F-6, Islamabad, Islamabad Capital"
2 Kanal,-,-,PKR65 Crore,"F-7, Islamabad, Islamabad Capital"
1 Kanal,-,-,PKR16 Crore,"F-10, Islamabad, Islamabad Capital"
2.5 Kanal,5,5,PKR70 Crore,"F-7, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR13 Crore,"E-11, Islamabad, Islamabad Capital"
10 Marla,5,4,PKR10 Crore,"F-11, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR24.5 Crore,"F-10, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR45 Crore,"F-7, Islamabad, Islamabad Capital"
1.1 Kanal,6,5,PKR27 Crore,"F-7, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR25 Crore,"F-8, Islamabad, Islamabad Capital"
1.1 Kanal,6,6,PKR36 Crore,"F-6, Islamabad, Islamabad Capital"
1 Kanal,-,-,PKR16.5 Crore,"E-11, Islamabad, Islamabad Capital"
2 Kanal,-,-,PKR36 Crore,"F-10, Islamabad, Islamabad Capital"
8 Marla,6,6,PKR7.5 Crore,"E-11, Islamabad, Islamabad Capital"
1 Kanal,6,9,PKR15 Crore,"E-11, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR16 Crore,"F-11, Islamabad, Islamabad Capital"
10 Marla,6,6,PKR7 Crore,"E-11, Islamabad, Islamabad Capital"
1 Kanal,6,7,PKR16 Crore,"F-10, Islamabad, Islamabad Capital"
1 Kanal,6,8,PKR22 Crore,"F-11, Islamabad, Islamabad Capital"
10.9 Marla,6,8,PKR8.5 Crore,"E-11, Islamabad, Islamabad Capital"
1.1 Kanal,4,4,PKR24 Crore,"F-8, Islamabad, Islamabad Capital"
16 Marla,7,7,PKR14 Crore,"F-11, Islamabad, Islamabad Capital"
10 Marla,3,4,PKR14.5 Crore,"F-6, Islamabad, Islamabad Capital"
1.6 Kanal,5,4,PKR33 Crore,"F-6, Islamabad, Islamabad Capital"
1 Kanal,-,6,PKR38 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,6,4,PKR25.75 Crore,"F-8, Islamabad, Islamabad Capital"
1.9 Kanal,-,-,PKR42 Crore,"F-6, Islamabad, Islamabad Capital"
4.8 Kanal,6,10,PKR1.3 Arab,"F-6, Islamabad, Islamabad Capital"
2 Kanal,6,9,PKR90 Crore,"F-6, Islamabad, Islamabad Capital"
2.3 Kanal,6,6,PKR58 Crore,"F-6, Islamabad, Islamabad Capital"
17.8 Marla,6,5,PKR23.5 Crore,"F-6, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR28.5 Crore,"F-7, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR25 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,-,-,PKR17 Crore,"F-10, Islamabad, Islamabad Capital"
1.3 Kanal,-,8,PKR32 Crore,"F-11, Islamabad, Islamabad Capital"
16 Marla,6,7,PKR9 Crore,"E-11, Islamabad, Islamabad Capital"
4 Kanal,6,6,PKR90 Crore,"F-7, Islamabad, Islamabad Capital"
1.2 Kanal,6,7,PKR18 Crore,"F-10, Islamabad, Islamabad Capital"
1 Kanal,6,9,PKR17 Crore,"F-10, Islamabad, Islamabad Capital"
2 Kanal,6,8,PKR32 Crore,"F-10, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR25 Crore,"F-7, Islamabad, Islamabad Capital"
1.2 Kanal,6,8,PKR22.5 Crore,"F-10, Islamabad, Islamabad Capital"
1 Kanal,6,8,PKR19.5 Crore,"F-11, Islamabad, Islamabad Capital"
1 Kanal,6,7,PKR17.5 Crore,"F-10, Islamabad, Islamabad Capital"
2.1 Kanal,6,6,PKR50 Crore,"F-7, Islamabad, Islamabad Capital"
1.6 Kanal,6,5,PKR35 Crore,"F-8, Islamabad, Islamabad Capital"
10 Marla,4,3,PKR15 Crore,"F-6, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR29 Crore,"F-7, Islamabad, Islamabad Capital"
4 Kanal,6,10,PKR65 Crore,"F-8, Islamabad, Islamabad Capital"
1.1 Kanal,6,5,PKR25 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,6,5,PKR16.5 Crore,"F-10, Islamabad, Islamabad Capital"
3.3 Kanal,6,5,PKR1.15 Arab,"F-6, Islamabad, Islamabad Capital"
1 Kanal,6,7,PKR31 Crore,"F-8, Islamabad, Islamabad Capital"
1.3 Kanal,6,7,PKR22 Crore,"F-11, Islamabad, Islamabad Capital"
1.1 Kanal,6,7,PKR22 Crore,"F-11, Islamabad, Islamabad Capital"
16 Marla,-,9,PKR9.8 Crore,"E-11, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR34 Crore,"F-10, Islamabad, Islamabad Capital"
10.9 Marla,6,5,PKR9.5 Crore,"F-11, Islamabad, Islamabad Capital"
2 Kanal,-,7,PKR35 Crore,"F-10, Islamabad, Islamabad Capital"
1.3 Kanal,6,5,PKR34.5 Crore,"F-6, Islamabad, Islamabad Capital"
16 Marla,6,5,PKR19.9 Crore,"F-6, Islamabad, Islamabad Capital"
2 Kanal,6,5,PKR45 Crore,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,5,5,PKR27 Crore,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,5,5,PKR27.25 Crore,"F-8, Islamabad, Islamabad Capital"
4 Kanal,7,11,PKR1.35 Arab,"F-7, Islamabad, Islamabad Capital"
1 Kanal,7,9,PKR40 Crore,"F-7, Islamabad, Islamabad Capital"
4 Kanal,7,11,PKR1 Arab,"F-7, Islamabad, Islamabad Capital"
9.3 Marla,7,7,PKR9.7 Crore,"F-11, Islamabad, Islamabad Capital"
1 Kanal,7,7,PKR32 Crore,"F-11, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR19.5 Crore,"F-11, Islamabad, Islamabad Capital"
1.1 Kanal,5,5,PKR32 Crore,"F-8, Islamabad, Islamabad Capital"
2.1 Kanal,6,6,PKR50 Crore,"F-6, Islamabad, Islamabad Capital"
1 Kanal,7,7,PKR27.5 Crore,"F-8, Islamabad, Islamabad Capital"
11 Marla,6,6,PKR8.25 Crore,"E-11, Islamabad, Islamabad Capital"
1 Kanal,-,8,PKR14 Crore,"E-11, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR7.4 Crore,"E-11, Islamabad, Islamabad Capital"
1.3 Kanal,6,5,PKR32 Crore,"F-8, Islamabad, Islamabad Capital"
5 Kanal,-,-,PKR2.5 Arab,"F-6, Islamabad, Islamabad Capital"
2.1 Kanal,6,6,PKR35.5 Crore,"F-10, Islamabad, Islamabad Capital"
6 Marla,-,7,PKR5.15 Crore,"E-11, Islamabad, Islamabad Capital"
2 Kanal,6,9,PKR65 Crore,"F-6, Islamabad, Islamabad Capital"
1.3 Kanal,5,5,PKR27.25 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,5,4,PKR23 Crore,"F-8, Islamabad, Islamabad Capital"
2 Kanal,6,7,PKR30 Crore,"F-10, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR18 Crore,"F-10, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR26 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,5,5,PKR22.5 Crore,"F-8, Islamabad, Islamabad Capital"
4 Kanal,6,8,PKR65 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,7,5,PKR28 Crore,"F-10, Islamabad, Islamabad Capital"
2 Kanal,7,7,PKR45 Crore,"F-10, Islamabad, Islamabad Capital"
2.1 Kanal,6,6,PKR1.15 Arab,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,7,6,PKR24 Crore,"F-11, Islamabad, Islamabad Capital"
4 Kanal,6,8,PKR1.75 Arab,"F-8, Islamabad, Islamabad Capital"
1 Kanal,7,9,PKR32 Crore,"F-11, Islamabad, Islamabad Capital"
2 Kanal,7,6,PKR40 Crore,"F-11, Islamabad, Islamabad Capital"
1.8 Kanal,6,6,PKR38 Crore,"F-11, Islamabad, Islamabad Capital"
6 Marla,6,5,PKR5.65 Crore,"E-11, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR50 Crore,"F-7, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR6.5 Crore,"E-11, Islamabad, Islamabad Capital"
16 Marla,-,6,PKR9.75 Crore,"E-11, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR22 Crore,"F-11, Islamabad, Islamabad Capital"
4 Kanal,6,5,PKR1.25 Arab,"F-6, Islamabad, Islamabad Capital"
2.5 Kanal,5,5,PKR80 Crore,"F-7, Islamabad, Islamabad Capital"
4.8 Kanal,7,11,PKR1.3 Arab,"F-6, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR42 Crore,"F-8, Islamabad, Islamabad Capital"
18 Marla,4,4,PKR15.1 Crore,"F-11, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR21 Crore,"F-11, Islamabad, Islamabad Capital"
2 Kanal,-,10,PKR30 Crore,"F-8, Islamabad, Islamabad Capital"
3.6 Kanal,-,8,PKR60 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,-,9,PKR40 Crore,"F-8, Islamabad, Islamabad Capital"
4 Kanal,-,10,PKR80 Crore,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR48 Crore,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,7,6,PKR45 Crore,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,7,6,PKR60 Crore,"F-7, Islamabad, Islamabad Capital"
2 Kanal,7,6,PKR35 Crore,"F-10, Islamabad, Islamabad Capital"
1.9 Kanal,-,-,PKR31 Crore,"F-6, Islamabad, Islamabad Capital"
2 Kanal,-,7,PKR32.5 Crore,"F-10, Islamabad, Islamabad Capital"
1.1 Kanal,-,5,PKR32 Crore,"F-6, Islamabad, Islamabad Capital"
3.6 Kanal,7,7,PKR75 Crore,"F-8, Islamabad, Islamabad Capital"
1.3 Kanal,5,5,PKR15 Crore,"F-11, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR16 Crore,"F-11, Islamabad, Islamabad Capital"
1.3 Kanal,6,5,PKR38 Crore,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,5,4,PKR37 Crore,"F-7, Islamabad, Islamabad Capital"
2 Kanal,-,-,PKR35 Crore,"F-11, Islamabad, Islamabad Capital"
1.3 Kanal,-,10,PKR50 Crore,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,6,5,PKR32 Crore,"F-8, Islamabad, Islamabad Capital"
1 Kanal,-,4,PKR24.5 Crore,"F-6, Islamabad, Islamabad Capital"
4 Kanal,6,5,PKR70 Crore,"F-8, Islamabad, Islamabad Capital"
4 Kanal,6,5,PKR1.2 Arab,"F-6, Islamabad, Islamabad Capital"
1 Kanal,6,8,PKR14 Crore,"E-11, Islamabad, Islamabad Capital"
2.2 Kanal,6,8,PKR37 Crore,"F-10, Islamabad, Islamabad Capital"
1.3 Kanal,5,5,PKR26 Crore,"F-7, Islamabad, Islamabad Capital"
2 Kanal,6,6,PKR45 Crore,"F-7, Islamabad, Islamabad Capital"
5 Kanal,-,10,PKR1.3 Arab,"F-6, Islamabad, Islamabad Capital"
2 Kanal,-,9,PKR80 Crore,"F-6, Islamabad, Islamabad Capital"
2 Kanal,-,-,PKR45 Crore,"F-10, Islamabad, Islamabad Capital"
1.1 Kanal,6,6,PKR55 Crore,"F-7, Islamabad, Islamabad Capital"
4 Kanal,-,8,PKR4 Arab,"F-7, Islamabad, Islamabad Capital"
17.8 Marla,6,6,PKR45 Crore,"F-8, Islamabad, Islamabad Capital"
8.7 Marla,4,3,PKR8.35 Crore,"F-10, Islamabad, Islamabad Capital"
17.8 Marla,5,5,PKR23 Crore,"F-6, Islamabad, Islamabad Capital"
3.2 Kanal,5,4,PKR75 Crore,"F-6, Islamabad, Islamabad Capital"
2.3 Kanal,6,5,PKR55 Crore,"F-7, Islamabad, Islamabad Capital"
4 Kanal,-,4,PKR1 Arab,"F-7, Islamabad, Islamabad Capital"
1.3 Kanal,-,5,PKR38 Crore,"F-7, Islamabad, Islamabad Capital"
1 Kanal,7,7,PKR17 Crore,"E-11, Islamabad, Islamabad Capital"
1.3 Kanal,7,6,PKR48 Crore,"F-7, Islamabad, Islamabad Capital"
1.6 Kanal,7,6,PKR35 Crore,"F-10, Islamabad, Islamabad Capital"
1.1 Kanal,5,5,PKR22.75 Crore,"F-6, Islamabad, Islamabad Capital"
1.1 Kanal,7,8,PKR32 Crore,"F-7, Islamabad, Islamabad Capital"
2.1 Kanal,6,6,PKR45 Crore,"F-6, Islamabad, Islamabad Capital"
10 Marla,6,6,PKR8.9 Crore,"E-11, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR9.5 Crore,"E-11, Islamabad, Islamabad Capital"
10 Marla,6,6,PKR8 Crore,"E-11, Islamabad, Islamabad Capital"
17.8 Marla,4,4,PKR15.5 Crore,"F-11, Islamabad, Islamabad Capital"
1.3 Kanal,6,6,PKR35 Crore,"F-7, Islamabad, Islamabad Capital"
2 Kanal,-,-,PKR50 Crore,"F-6, Islamabad, Islamabad Capital"
3.6 Kanal,-,-,PKR55 Crore,"F-8, Islamabad, Islamabad Capital"
2.5 Kanal,-,-,PKR50 Crore,"F-8, Islamabad, Islamabad Capital"
1.2 Kanal,6,5,PKR28 Crore,"F-8, Islamabad, Islamabad Capital"
4 Kanal,-,-,PKR1.1 Arab,"F-7, Islamabad, Islamabad Capital"
7 Marla,7,6,PKR5.5 Crore,"G-13, Islamabad, Islamabad Capital"
10 Marla,6,7,PKR7.5 Crore,"G-13, Islamabad, Islamabad Capital"
4 Marla,5,5,PKR3.45 Crore,"G-13, Islamabad, Islamabad Capital"
7 Marla,7,6,PKR7.1 Crore,"G-13, Islamabad, Islamabad Capital"
4 Marla,5,5,PKR4.1 Crore,"G-13, Islamabad, Islamabad Capital"
4 Marla,5,5,PKR3.27 Crore,"G-13, Islamabad, Islamabad Capital"
4 Marla,5,5,PKR3.15 Crore,"G-13, Islamabad, Islamabad Capital"
7 Marla,7,5,PKR6.5 Crore,"G-13, Islamabad, Islamabad Capital"
14.2 Marla,7,6,PKR11.6 Crore,"G-11, Islamabad, Islamabad Capital"
6 Marla,4,4,PKR5.4 Crore,"G-11, Islamabad, Islamabad Capital"
8 Marla,4,4,PKR6.5 Crore,"G-11, Islamabad, Islamabad Capital"
5.6 Marla,1,2,PKR3.5 Crore,"G-11, Islamabad, Islamabad Capital"
5.5 Marla,5,4,PKR4.5 Crore,"G-11, Islamabad, Islamabad Capital"
4 Marla,5,4,PKR3.7 Crore,"G-13, Islamabad, Islamabad Capital"
5 Marla,3,4,PKR4 Crore,"G-11, Islamabad, Islamabad Capital"
6.6 Marla,5,4,PKR5.8 Crore,"G-11, Islamabad, Islamabad Capital"
4 Marla,3,3,PKR3.6 Crore,"G-13, Islamabad, Islamabad Capital"
1 Kanal,6,6,PKR13.75 Crore,"G-11, Islamabad, Islamabad Capital"
4 Marla,4,4,PKR3.15 Crore,"G-13, Islamabad, Islamabad Capital"
5.6 Marla,4,4,PKR4.35 Crore,"G-11, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR4.95 Crore,"G-11, Islamabad, Islamabad Capital"
4 Marla,4,4,PKR4.1 Crore,"G-13, Islamabad, Islamabad Capital"
10 Marla,7,6,PKR7.9 Crore,"G-13, Islamabad, Islamabad Capital"
1 Kanal,7,7,PKR16.5 Crore,"G-13, Islamabad, Islamabad Capital"
10 Marla,6,6,PKR8.9 Crore,"G-13, Islamabad, Islamabad Capital"
10.9 Marla,6,6,PKR6.5 Crore,"G-13, Islamabad, Islamabad Capital"
10.9 Marla,6,6,PKR7.5 Crore,"G-13, Islamabad, Islamabad Capital"
10 Marla,7,6,PKR9 Crore,"G-13, Islamabad, Islamabad Capital"
4 Marla,5,5,PKR3.2 Crore,"G-13, Islamabad, Islamabad Capital"
8 Marla,6,4,PKR6 Crore,"G-13, Islamabad, Islamabad Capital"
10 Marla,6,6,PKR8.5 Crore,"G-13, Islamabad, Islamabad Capital"
4 Marla,4,4,PKR3.28 Crore,"G-13, Islamabad, Islamabad Capital"
